"","date","gdp","c","ch","gdph","jc","jgdp","jgf","jgs","ptgh","ptgsh","ptgfh","yptmr","yptmd","gtfp","ypog","yptx","ytpi","yctlg","g","grcsi","dc","gf","gs","gfh","gsh","gfrpt","gfrpri","gfrcp","gfrs","gftfp","gfeg","gsrpt","gsrpri","gsrcp","gsrs","gstfp","gset","yp","gfsub","gssub"
"1970-03-31",1970-03-31,1051.2,631.7,3065.1,4936.6,20.61,21.286,18.701,13.706,-0.48,0.41,-0.88,7,5,63,1.2,104.6,88.5,30.7,247.9,46.2,20.609,133.6,114.3,714,834.4,90.6,17.9,27,45.1,48.3,16.6,14,70.6,3.8,1.1,14.7,129.9,841.7,4.7,0
"1970-06-30",1970-06-30,1067.4,641.6,3079,4943.6,20.838,21.593,18.948,13.996,-1.11,0.24,-1.35,7.2,5.3,73.1,1.3,105.5,90.5,30.8,249.1,46.5,20.837,131.8,117.4,695.2,838.9,91.4,18.1,27,45.4,57.5,17.9,14.1,72.4,3.7,1.1,15.6,134.1,860,4.8,0
"1970-09-30",1970-09-30,1086.1,653.5,3106,4989.2,21.041,21.77,19.271,14.249,0.4,1.01,-0.61,7.3,5.6,73.5,1.3,100.7,92.5,31.7,254.6,46.9,21.04,132.4,122.2,686.7,858.1,86.3,18.2,27.9,45.9,56.9,19.2,14.3,74.3,3.8,1.1,16.6,140.1,874.7,4.7,0
"1970-12-31",1970-12-31,1088.6,660.2,3097.5,4935.7,21.314,22.055,19.516,14.519,0.06,0.23,-0.18,7.5,5.9,77.4,1.3,101.5,94.1,30.2,258.7,46.7,21.313,133.5,125.2,684.1,862.4,87.2,18.2,26.6,45.6,59.8,19.8,14.4,76,3.6,1.1,17.5,144.3,883.7,4.8,0
"1971-03-31",1971-03-31,1135.2,679.2,3157,5069.7,21.516,22.389,20.134,14.849,-1.31,0.22,-1.52,7.8,6.2,79.3,1.4,98.3,97.7,34,261.9,50.8,21.514,133.3,128.6,662.1,866,83.6,19.4,29.9,49.6,61,20.5,14.7,78.3,4.1,1.1,18.3,149.1,903.7,4.7,0
"1971-06-30",1971-06-30,1156.3,693.2,3186,5097.2,21.761,22.689,20.51,15.117,-0.21,0.34,-0.55,8,6.6,86.9,1.4,100.7,98.9,34.9,266.1,51.4,21.759,134.3,131.9,654.4,872.4,85.1,18.7,30.7,50.2,67.9,22.1,15.6,80.2,4.2,1.2,19.1,153.6,927.1,4.8,0
"1971-09-30",1971-09-30,1177.7,705.6,3211.4,5139.1,21.975,22.917,20.807,15.33,-0.05,0.16,-0.2,8.1,6.9,86.9,1.5,102.3,101.7,34.1,269.8,51.6,21.972,135.6,134.2,651.5,875.4,86.3,18.9,29.8,50.5,67.2,22.4,16,82.8,4.4,1.2,19.6,156.9,941.1,4.5,0
"1971-12-31",1971-12-31,1190.3,721.7,3264.7,5151.2,22.111,23.107,21.23,15.498,-0.66,0.57,-1.24,8.3,7.3,88.5,1.5,105.5,103.7,34.6,272.1,52.2,22.108,134.7,137.4,634.4,886.4,88.2,19,30.1,51,68.2,23.7,17.3,84.7,4.5,1.2,20.3,161,959.3,4.6,0
"1972-03-31",1972-03-31,1230.6,738.9,3307.8,5246,22.344,23.478,22.104,15.844,0.52,0.13,0.39,8.5,7.8,91.4,1.7,119.8,104.6,36.8,282.2,58.5,22.34,141.4,140.8,639.7,888.8,100.3,18.2,31.8,57.3,70.2,24.4,19.5,86.4,5,1.3,21.2,165.7,986.5,6.1,0
"1972-06-30",1972-06-30,1266.4,757.4,3370.7,5365,22.473,23.621,22.327,16.031,0.41,-0.07,0.48,8.7,8,91.9,1.8,123.4,106.8,37.1,286.5,59.2,22.469,144.2,142.2,645.9,887.3,102.4,18.3,32,57.9,70.2,32.7,21,88.5,5,1.3,21.6,167.9,1004.2,6.2,0.1
"1972-09-30",1972-09-30,1290.6,775.8,3422.7,5415.7,22.671,23.835,22.51,16.275,-1.72,0.36,-2.08,8.9,8.6,92.9,1.8,124.3,108.9,38.3,284.3,59.9,22.666,138.8,145.6,616.3,894.4,103.1,18.5,33.1,58.5,70.3,25.6,21.2,90.4,5.2,1.3,22.5,172.5,1030.1,7.1,0.1
"1972-12-31",1972-12-31,1328.9,800.5,3503,5506.4,22.855,24.105,22.999,16.499,0.77,0.62,0.14,9.2,8.5,103.1,1.9,127.1,111.5,42.4,291.7,60.8,22.852,142.2,149.6,617.9,906.7,105.3,19,36.6,59.4,80.6,39.3,21.8,92.5,5.7,1.4,22.5,176.8,1077,7,0.1
"1973-03-31",1973-03-31,1377.5,825,3567,5642.7,23.131,24.412,23.37,16.824,0.84,0.22,0.62,9.5,9,105.4,1.8,126.4,114.6,45.3,299.6,74.1,23.129,146.4,153.2,625.9,910.9,104.5,19.5,39.3,72.7,82.2,34.3,21.9,95.1,6,1.4,23.2,181.7,1095.1,5.9,0.1
"1973-06-30",1973-06-30,1413.9,840.5,3565.3,5704.1,23.576,24.816,23.777,17.123,-0.59,0.07,-0.66,10,9.6,107.6,1.8,129.2,116.2,45.4,302.7,75.3,23.575,146.5,156.2,615.8,912.4,106.9,19.9,39.4,73.8,83.6,33.4,22.3,96.3,6.1,1.5,24,185.7,1124.9,5.6,0.1
"1973-09-30",1973-09-30,1433.8,858.9,3577.9,5674.1,24.005,25.29,24.269,17.353,-1,0.46,-1.46,10.5,9.7,109.2,1.8,134.1,118.4,43.4,304.2,76.6,24.005,144.2,159.9,594,921.9,111,19.7,37.6,75.1,85.1,32.6,23.1,98.7,5.9,1.5,24.2,190,1152.5,4.6,0.1
"1973-12-31",1973-12-31,1476.3,873.9,3567.2,5728,24.496,25.728,24.788,17.682,0.63,0.55,0.09,11,10.1,112.3,1.9,140,119.7,45.6,312.6,78.1,24.498,147.6,165,595.4,933.1,116,20.1,39.4,76.6,87.3,33.6,24,99.6,6.1,1.6,25,195.9,1190.7,4.5,0.1
"1974-03-31",1974-03-31,1491.2,891.9,3535.3,5678.7,25.225,26.249,25.042,18.195,1.52,0.57,0.95,11.7,10.2,117.5,1.9,142.8,120.8,43.7,324.6,83.7,25.227,152.7,171.9,609.7,944.9,119.5,19.8,37.4,82.1,94.1,33.3,23.3,101,6.3,1.6,23.4,201.1,1206.8,3.5,0.1
"1974-06-30",1974-06-30,1530.1,920.4,3548,5692.2,25.939,26.832,25.494,18.828,0.43,0.58,-0.14,12.4,11.1,125.4,2,148.9,124.1,45.9,335,85.3,25.942,154.9,180.1,607.6,956.6,124.8,20.1,39.3,83.6,100.7,34.1,24.1,104,6.6,1.6,24.7,210.1,1232.9,2.8,0.1
"1974-09-30",1974-09-30,1560,949.3,3563.3,5638.4,26.639,27.659,26.239,19.515,0.2,-0.08,0.28,13.1,11.4,132.2,2.1,154.9,127.1,50.8,346.7,86.9,26.64,160.4,186.3,611.5,954.8,129.7,20.2,43.5,85.2,106.4,35.4,25.2,106.8,7.3,1.7,25.9,217,1269.1,3.1,0.1
"1974-12-31",1974-12-31,1599.7,959.1,3511.2,5616.5,27.316,28.498,27.11,20.089,0.45,0.03,0.42,13.8,12,139.1,2.2,157.6,127.7,44.6,359.2,87.1,27.315,167.4,191.9,617.6,955.2,132,20.2,38.1,85.4,112,36.8,25.6,107.5,6.5,1.7,27.1,223.7,1298.5,3.5,0.1
"1975-03-31",1975-03-31,1616.1,985.2,3540.6,5548.2,27.83,29.142,27.603,20.493,1.03,1.44,-0.4,14.5,13.3,149.8,2.3,158,128.8,37.6,370.1,88.2,27.825,168.6,201.5,611.1,983.4,132.3,19.8,31.5,86.5,120.5,39.3,25.7,109,6.1,1.8,29.2,235.9,1318.4,4.1,0.1
"1975-06-30",1975-06-30,1651.9,1013.6,3598.9,5587.8,28.172,29.565,28.003,20.899,-0.74,-0.35,-0.39,15.2,13.8,164.6,2.4,121.1,133,40.8,373.4,88.6,28.164,169.4,204,605,976.4,94.6,21.3,34.2,86.8,134.2,44.3,26.5,111.7,6.6,1.8,30.5,240.3,1350,4.1,0.2
"1975-09-30",1975-09-30,1709.8,1047.2,3650,5683.4,28.699,30.087,28.38,21.166,1.75,0.64,1.1,16,13.8,167.7,2.6,152.8,138.2,51.4,385.4,90.3,28.69,176.1,209.3,620.6,988.9,125.7,23.3,43.2,88.5,136.8,45,27.2,114.9,8.2,1.9,31,246.6,1386.5,4.4,0.2
"1975-12-31",1975-12-31,1761.8,1076.2,3689.3,5760,29.18,30.59,29.032,21.437,0.82,0.66,0.16,16.8,14.6,170.4,2.7,158.5,141.1,52.3,395.6,92.4,29.172,180.8,214.8,622.7,1002.1,130.4,23.9,43.9,90.5,137.8,45.9,28.2,117.3,8.4,2,32.6,254.2,1422.7,4.8,0.2
"1976-03-31",1976-03-31,1820.5,1109.9,3763,5889.5,29.502,30.925,29.456,21.679,0.18,0.56,-0.38,17.6,15.2,174.7,2.8,162.5,141.7,59.6,401.3,99.6,29.495,181.6,219.7,616.5,1013.3,133,20.8,49.9,97.5,141.3,47,29.5,120.9,9.7,2,33.4,260.3,1456.1,5,0.2
"1976-06-30",1976-06-30,1852.3,1129.5,3797.7,5932.7,29.749,31.233,29.703,21.942,-0.97,-0.85,-0.13,18.4,14.9,173.1,3,169.3,144.9,58.6,401,101.1,29.743,182.5,218.5,614.4,995.6,138.7,21.3,49,98.9,139.6,47.8,30.6,123.5,9.6,2.1,33.4,259.4,1481.2,4.7,0.2
"1976-09-30",1976-09-30,1886.6,1158.8,3837.7,5965.3,30.2,31.632,30.043,22.105,-0.24,-0.31,0.08,19.2,15.9,180.1,3.1,176.1,147.7,58.1,403.5,102.8,30.196,184.9,218.6,615.3,989,144.5,21.7,48.5,100.6,145.4,48.7,31.6,126,9.7,2.2,34.7,261.3,1518.4,4.9,0.2
"1976-12-31",1976-12-31,1934.3,1192.4,3887.4,6008.5,30.678,32.169,30.846,22.369,-0.02,-0.14,0.11,20,15.9,182.7,3.2,182.7,151.3,57.1,410.8,104.4,30.673,190.2,220.6,616.7,986,150.1,21.7,47.5,102.1,147.7,52.7,32.6,129.6,9.6,2.3,35,263.9,1554.9,5.3,0.2
"1977-03-31",1977-03-31,1988.6,1228.2,3933.3,6079.5,31.231,32.689,31.283,22.791,0.76,0.46,0.31,20.9,16.2,185.5,3.3,188.8,154.8,61.5,421.2,110,31.226,194.2,227,620.9,995.8,155.3,22,51,107.5,149.8,50.7,33.5,132.9,10.5,2.5,35.7,271.1,1588.8,5.6,0.2
"1977-06-30",1977-06-30,2055.9,1256,3954.6,6197.7,31.766,33.205,31.639,23.199,0.81,0.28,0.53,21.7,17.5,186.4,3.4,195.7,158,67.1,431.4,112.8,31.76,198.9,232.4,628.8,1001.9,161,22.5,55.7,110.1,148.9,53.7,34.7,135.5,11.4,2.7,37.5,278.6,1633,5.7,0.2
"1977-09-30",1977-09-30,2118.5,1286.9,3992,6309.5,32.243,33.662,31.795,23.594,0.35,-0.05,0.4,22.5,16.7,191.7,3.5,198.6,161.5,69.7,438,115.1,32.237,201.9,236.1,635.1,1000.8,162.6,23.2,57.9,112.2,154.4,57.3,35.9,138.3,11.8,2.9,37.3,282.3,1677.7,6.2,0.2
"1977-12-31",1977-12-31,2164.3,1324.8,4052,6309.7,32.702,34.225,32.716,23.992,-0.23,0.06,-0.28,23.3,16.5,194.3,3.6,208.5,164.3,70.1,446.7,117.5,32.695,206.3,240.5,630.7,1002.4,171.2,23.2,58.1,114.4,156.6,57.3,37.3,141.1,12,3,37.7,287.5,1737.4,10.1,0.2
"1978-03-31",1978-03-31,2202.8,1354.1,4074.8,6329.8,33.238,34.786,33.09,24.331,-0.03,-0.03,-0.01,24.2,17.5,197.7,3.7,212,166.9,65,452.6,124.7,33.23,208.8,243.8,631.1,1002.2,173.4,24,54.4,121.6,158.5,61.5,38.6,143,10.5,3.2,39.2,292.5,1778.1,8.5,0.2
"1978-06-30",1978-06-30,2331.6,1411.4,4161.9,6574.4,33.921,35.48,33.74,24.737,2.13,1.36,0.77,25,18.6,199,3.8,223.1,173.1,78.6,472.3,129.9,33.912,217,255.3,643.3,1032.3,182.9,25.4,66.2,126.5,158,64.1,40.1,147.7,12.4,3.3,41,306,1838.2,8.1,0.2
"1978-09-30",1978-09-30,2395.1,1442.2,4179.4,6640.5,34.517,36.106,34.304,25.114,0.73,0.5,0.23,26,18.9,207.1,3.9,236.3,169.7,79.1,484.2,134.2,34.508,222.1,262.2,647.5,1044.2,195.4,25.5,66.7,130.8,165.9,63.4,40.9,144.2,12.5,3.5,41.3,313.5,1892.6,8,0.2
"1978-12-31",1978-12-31,2476.9,1481.4,4213.1,6729.8,35.169,36.819,34.896,25.474,0.73,0.42,0.31,27,19.5,209.9,4,247.2,173.9,83.3,496.2,139.6,35.161,227.8,268.4,653,1054.1,205.1,26.3,70.3,136,168.3,64.9,42.1,147.6,13.1,3.6,41.7,320.5,1946,10.1,0.3
"1979-03-31",1979-03-31,2526.6,1517.1,4234.9,6741.9,35.831,37.507,35.539,26.08,-0.79,-0.73,-0.05,28,20,214.9,4.1,253.6,176.4,80.3,501.8,146.9,35.825,231.7,270.1,652,1036.2,211.6,25.9,66.6,143.1,172.5,62.1,42,150.6,13.7,3.8,42.4,323.2,2005.4,8.1,0.3
"1979-06-30",1979-06-30,2591.2,1557.6,4232.2,6749.1,36.81,38.413,36.076,26.676,0.77,0.4,0.37,29.2,20.8,219.2,4.3,262,178.5,80.3,516.5,151.2,36.805,237.6,278.9,658.6,1046,219.9,25.9,66.5,147.4,175.7,62.6,42.1,152.6,13.8,3.9,43.5,333.2,2045.4,8.5,0.3
"1979-09-30",1979-09-30,2667.6,1611.9,4273.3,6799.2,37.724,39.215,36.918,27.581,0.24,0.15,0.09,30.5,21.1,234.6,4.4,274.8,180.9,78.9,533.1,156.3,37.719,243.7,289.4,660.2,1049.6,229.4,25.3,65.3,152.4,190.1,65.2,45.4,155.6,13.6,3.9,44.5,344.8,2110.9,7.8,0.3
"1979-12-31",1979-12-31,2723.9,1655,4284,6816.2,38.637,39.93,37.731,28.119,0.52,0.48,0.04,32,22.4,240.7,4.5,285.2,184.6,75.3,547.8,160.3,38.633,249.3,298.4,660.9,1061.4,238.6,25.6,62.1,156.3,193.8,65.9,46.6,159,13.2,4,46.9,356.1,2169,8.5,0.3
"1980-03-31",1980-03-31,2789.8,1702.3,4277.9,6837.6,39.797,40.804,38.477,28.851,1.18,0.19,0.99,33.6,23.4,251.2,4.6,284.8,189.5,83.1,568.8,162.9,39.793,261.1,307.7,678.5,1066.3,238.3,27.6,67,159.3,202.1,66.7,46.6,161.9,16.1,3.6,49.1,367.6,2231.9,8.9,0.3
"1980-06-30",1980-06-30,2797.4,1704.7,4181.5,6696.8,40.771,41.771,39.964,29.644,0.18,-0.59,0.77,35.3,22.2,256.2,4.8,292.2,196.9,62.6,588.5,163.9,40.768,276.5,312,691.9,1052.2,244.2,33.6,49.8,161,207.3,68.2,48,163.3,12.8,2.9,49,371.7,2269.4,9.3,0.3
"1980-09-30",1980-09-30,2856.5,1763.8,4227.4,6688.8,41.724,42.703,40.369,30.499,-1.15,-0.7,-0.45,37,24.2,287.9,5,302.2,204.3,69.9,592.2,168,41.723,276.1,316.1,684,1035.9,252.8,36.1,56,164.2,235.4,70.7,49.4,168.2,14,3.8,52.4,379.1,2348.5,9.7,0.4
"1980-12-31",1980-12-31,2985.6,1831.9,4284.5,6813.5,42.757,43.835,41.584,31.329,0,-0.21,0.22,38.8,25.6,290.7,5.3,318.9,210.6,76.8,608.9,174,42.756,285.8,323.1,687.4,1030.8,267.2,37.3,61.7,170.1,236.4,73.1,51.6,173.3,15.1,4,54.3,388.1,2444.7,9.9,0.4
"1981-03-31",1981-03-31,3124.2,1885.7,4298.8,6947,43.866,44.997,42.415,32.347,1.11,0.35,0.76,40.7,26.5,296.1,5.6,330.9,230.8,75.4,633.4,191,43.866,297.2,336.1,700.9,1038.9,278.4,50.7,58.5,187.3,240.5,71.5,52.5,180.2,16.8,3.7,55.6,402.6,2508.9,10.2,0.4
"1981-06-30",1981-06-30,3162.5,1917.5,4299.2,6895.6,44.601,45.842,43.402,33.044,0.16,-0.82,0.98,42.6,28.1,299,5.9,342.7,235.5,65.9,648.7,194.8,44.602,311.9,336.8,718.9,1019,289,51.8,50.7,190.9,241.6,71.4,53.7,183.7,15.2,3.8,57.4,405.3,2559.8,10.3,0.4
"1981-09-30",1981-09-30,3260.6,1958.1,4319,6978.1,45.336,46.733,44.354,33.492,-0.26,-0.12,-0.14,44.4,28.3,317,6.1,356.9,237.5,68.4,657.8,199.5,45.336,317.4,340.3,715.9,1016.1,301.4,49.1,52.7,195.6,259.3,68.8,55.5,188.3,15.7,3.9,57.7,409.8,2659.1,10.7,0.4
"1981-12-31",1981-12-31,3280.8,1974.4,4289.5,6902.1,46.031,47.505,45.203,34.022,1.05,0.33,0.72,46.3,28,319.2,6.3,352.7,238.8,58.9,677.7,202.2,46.03,329.3,348.4,728.8,1024,295.9,48.1,44.8,198.2,261.5,66,56.8,190.7,14.1,4,57.7,418.5,2692.7,13.1,0.4
"1982-03-31",1982-03-31,3274.3,2014.2,4321.1,6794.9,46.616,48.186,45.925,34.594,-0.05,-0.11,0.07,48.2,28.8,324.3,6.7,352.5,237.4,47.6,688.1,207.2,46.612,334.9,353.2,729.3,1021.2,295.2,43.5,33.5,203.2,265.2,65.8,57.3,193.9,14.1,4,59,425.5,2727.8,13.6,0.4
"1982-06-30",1982-06-30,3332,2039.6,4334.3,6825.9,47.064,48.826,46.835,35.15,0.34,0.15,0.19,50.1,30.2,333.2,6.9,359.7,238.3,49,703.1,209.2,47.059,342.9,360.2,732.3,1024.8,301.7,40,34.7,205.2,272.2,67.3,58.1,198.3,14.3,4,61,435.4,2772.3,13.2,0.5
"1982-09-30",1982-09-30,3366.3,2085.7,4363.3,6799.8,47.808,49.504,47.228,35.703,0.68,0,0.68,51.8,30.8,349.7,7.2,350.1,241.8,49.8,717.3,211.5,47.8,351.5,365.8,744.3,1024.8,289.7,40.1,35.4,207.5,287.5,65.6,60.4,201.7,14.4,4.1,62.1,443.4,2812.5,12.6,0.5
"1982-12-31",1982-12-31,3402.6,2145.6,4439.7,6802.5,48.335,50.005,47.785,36.156,1.3,0.32,0.98,53.6,30.8,365.2,7.5,356.6,246.3,45.1,737.4,212.4,48.326,364.1,373.3,761.9,1032.5,295.8,40.3,31.7,208.3,302.6,66.3,60.8,206,13.3,4.1,62.6,452.9,2853.8,19,0.5
"1983-03-31",1983-03-31,3473.4,2184.6,4483.6,6892.1,48.735,50.404,47.875,36.416,0.81,0.15,0.67,55.2,33.2,368,7.7,350.9,250.7,47.1,747.9,220.2,48.724,370.5,377.4,773.9,1036.3,289.5,41.1,34.3,216.1,302.2,67.2,61.3,209.6,12.8,4,65.8,461.9,2892.4,19.4,0.5
"1983-06-30",1983-06-30,3578.8,2249.4,4574.9,7049,49.18,50.778,48.245,36.815,0.73,-0.08,0.81,56.9,33.4,373.7,8,359.6,261.2,61.9,761.1,224.2,49.169,380.3,380.7,788.3,1034.2,295.3,45.3,46.3,220.2,307.4,69.2,64.3,216,15.7,4.1,66.3,467.5,2942.1,21.1,0.4
"1983-09-30",1983-09-30,3689.2,2319.9,4657,7189.9,49.827,51.318,48.78,37.171,1.49,0.38,1.12,58.7,34,368.5,8.3,345.4,267.5,70.7,782.2,228.9,49.815,394.4,387.8,808.7,1043.2,277.3,45.5,53.3,224.8,301.3,68.4,68.1,222,17.4,4.1,67.2,476.7,3001.2,21.8,0.4
"1983-12-31",1983-12-31,3794.7,2372.5,4731.2,7339.9,50.156,51.702,49.098,37.454,-1.3,0.04,-1.34,60.4,34.9,371.8,8.5,355.7,273.7,72.4,775.1,235.5,50.146,384.2,390.9,782.5,1043.9,284.9,45.8,54.6,231.2,303.5,67,70.7,228,17.7,4.3,68.3,482.1,3088.6,21.1,0.4
"1984-03-31",1984-03-31,3908.1,2418.2,4770.5,7483.4,50.698,52.212,49.735,37.997,0.92,0.54,0.38,62.5,35.7,376.3,8.8,361.2,281.6,84.9,794,250.8,50.69,392.4,401.6,789.2,1057.1,287.9,47,64.8,246.3,306.4,71.3,73.3,234.7,20.1,4.5,69.9,495.1,3178.9,20.8,0.4
"1984-06-30",1984-06-30,4009.6,2475.9,4837.3,7612.7,51.189,52.681,50.23,38.359,1.82,0.56,1.26,64.1,36.2,379,9.1,370.4,287.7,83.7,819.1,256.8,51.183,408.3,410.8,813.1,1071.2,294.6,47.5,63.8,252.1,308.4,73.1,75.8,240.3,19.9,4.7,70.6,505.9,3262.9,20.6,0.4
"1984-09-30",1984-09-30,4084.3,2513.5,4873.2,7686.1,51.584,53.157,50.977,38.717,0.69,0.71,-0.02,65.6,36.8,380.4,9.3,384.1,292.2,71.3,835.7,261.8,51.579,414,421.7,812.3,1089.5,307.3,47.4,53.8,257.1,309.1,70.7,76.8,244.7,17.5,4.8,71.3,518.3,3337.4,20.5,0.4
"1984-12-31",1984-12-31,4148.6,2561.8,4936.3,7749.2,51.902,53.528,51.605,39.101,1.74,0.42,1.32,66.9,37.6,387.9,9.5,395.9,297.5,72.1,862.8,265.8,51.897,432.5,430.2,838.4,1100.5,317.7,47.3,54.3,261.1,315.1,74.3,78.2,250.2,17.7,4.8,72.8,529.3,3391.7,20.8,0.4
"1985-03-31",1985-03-31,4230.2,2636,5020.2,7824.2,52.514,54.076,51.399,39.562,0.92,0.52,0.39,67.9,38.4,398.1,9.9,432.3,301,77.7,875.6,275.7,52.508,434.8,440.8,846,1114.4,353,46.4,57.7,271,323.2,74.8,79.3,254.7,20,4.7,74.9,542.7,3455.4,20.8,0.3
"1985-06-30",1985-06-30,4294.9,2681.8,5066.3,7893.1,52.94,54.396,51.52,39.952,1.85,0.76,1.09,69.1,39.2,400.5,10.2,388.5,305.7,76,900.5,279.8,52.934,447.3,453.2,868.3,1134.6,307.6,45.7,56.3,275,324.2,75.3,80.9,260,19.6,4.8,76.3,557.7,3495.5,20.7,0.3
"1985-09-30",1985-09-30,4386.8,2754.1,5162.5,8013.7,53.355,54.757,51.795,40.283,1.93,0.68,1.26,70.3,40.1,405.6,10.6,421.5,311.9,81.7,927.4,284.6,53.349,463.1,464.3,894.2,1152.7,340,46.8,60.8,279.7,327.5,76.4,81.5,265.1,20.9,4.9,78.1,571.6,3543.1,21,0.3
"1985-12-31",1985-12-31,4444.1,2779.4,5173.6,8073.2,53.727,55.042,52.135,40.656,0.35,0.32,0.02,71.6,41.1,408.3,11,428.9,313.9,79.5,938.6,291.1,53.722,466.4,472.1,894.7,1161.5,345.2,45.4,59,285.9,328.5,78.1,83.7,268.5,20.5,5.2,79.8,582.2,3605.5,21.7,0.3
"1986-03-31",1986-03-31,4507.9,2823.6,5218.9,8148.6,54.108,55.313,52.003,40.825,0.66,0.78,-0.12,73,42.1,419.9,11.3,426.3,317.5,84.4,946.8,298.2,54.105,464,482.8,892.2,1182.9,341.8,44.5,63,292.7,338.3,79.7,84.5,273,21.4,5.5,81.6,595.9,3667.6,22.8,0.3
"1986-06-30",1986-06-30,4545.3,2851.5,5275.7,8185.3,54.051,55.507,51.873,41.005,1.75,0.42,1.33,74.5,43.1,425.6,11.7,429.4,319.5,85.5,967.5,301.9,54.049,477.8,489.7,921.1,1194.4,344.4,42.9,63.4,296.1,342,83.8,85,276.6,22,5.8,83.6,605.5,3708.8,23.9,0.3
"1986-09-30",1986-09-30,4607.7,2917.2,5369,8263.6,54.336,55.771,51.947,41.36,1.87,0.4,1.47,76,44.1,433.1,12.1,439.5,326.2,86.9,993.6,306.9,54.334,495.1,498.5,953,1205.5,352,43.8,64.6,300.8,347.8,86.7,87.5,282.3,22.4,6.1,85.3,616.5,3757.1,25.1,0.3
"1986-12-31",1986-12-31,4657.6,2952.8,5402,8308,54.665,56.102,52.006,41.886,-0.33,0.14,-0.48,77.6,45.2,435.8,12.7,456,330.4,97.9,996.4,312.6,54.662,489.8,506.6,941.8,1209.5,364.2,43.6,73.1,306.2,348.9,79.5,91.8,286.8,24.8,6.4,86.9,626.3,3798.8,26.5,0.3
"1987-03-31",1987-03-31,4722.2,2983.5,5407.4,8369.9,55.179,56.427,51.917,42.485,0.54,0.23,0.3,79.6,46.2,441.9,12.7,450.7,336,98.7,1008.7,317.4,55.175,492.1,516.5,947.9,1215.9,358.3,44.1,76,310.7,353.6,76.9,92.4,291.9,22.7,6.7,88.3,637.8,3856,28,0.3
"1987-06-30",1987-06-30,4806.2,3053.3,5481.2,8460.2,55.711,56.81,52.164,43.004,0.7,0.1,0.6,81.1,47.3,447.5,12.9,511.7,344.4,111.8,1025.2,321.5,55.706,501.2,524,960.8,1218.6,410.2,45.8,87.3,314.5,357.6,80.2,101.5,298.5,24.5,7,89.9,646.9,3917.5,30.2,0.3
