date,impact,recession,total,federal,state_local,consumption,Hutchins Center Fiscal Impact Measure,,,,,,,,
03/31/00,0.21,0,-0.86,-0.84,0.33,-0.35,Source: Hutchins Center on Fiscal and Monetary Policy calculations from BEA data,,,,,,,,
06/30/00,0.30,0,0.46,0.78,-0.06,-0.26,,,,,,,,,
09/30/00,0.05,0,-0.35,-0.49,0.18,-0.04,,,,,,,,,
12/31/00,-0.08,0,0.42,0.06,0.38,-0.01,,,,,,,,,
03/31/01,0.42,0,1.14,0.52,0.58,0.04,,,,,,,,,
06/30/01,0.64,1,1.35,0.36,0.90,0.08,,,,,,,,,
09/30/01,0.97,1,0.95,0.15,-0.23,1.03,,,,,,,,,
12/31/01,1.47,1,2.42,0.30,0.91,1.21,,,,,,,,,
03/31/02,1.80,0,2.46,0.84,0.44,1.17,,,,,,,,,
06/30/02,2.02,0,2.24,0.51,0.06,1.66,,,,,,,,,
09/30/02,2.23,0,1.81,0.26,0.14,1.41,,,,,,,,,
12/31/02,2.05,0,1.70,0.47,0.12,1.11,,,,,,,,,
03/31/03,1.75,0,1.27,0.32,-0.22,1.18,,,,,,,,,
06/30/03,1.64,0,1.80,0.98,-0.24,1.06,,,,,,,,,
09/30/03,1.50,0,1.22,0.00,0.20,1.02,,,,,,,,,
12/31/03,1.36,0,1.15,0.54,-0.06,0.67,,,,,,,,,
03/31/04,1.21,0,0.68,0.31,0.03,0.34,,,,,,,,,
06/30/04,0.88,0,0.48,0.17,0.03,0.27,,,,,,,,,
09/30/04,0.61,0,0.15,0.33,-0.18,0.00,,,,,,,,,
12/31/04,0.32,0,-0.04,-0.05,0.02,-0.01,,,,,,,,,
03/31/05,0.12,0,-0.10,0.33,0.06,-0.50,,,,,,,,,
06/30/05,-0.12,0,-0.49,-0.03,-0.01,-0.45,,,,,,,,,
09/30/05,-0.20,0,-0.17,0.22,0.03,-0.42,,,,,,,,,
12/31/05,-0.31,0,-0.47,0.01,0.05,-0.52,,,,,,,,,
03/31/06,-0.17,0,0.43,0.75,0.21,-0.53,,,,,,,,,
06/30/06,-0.20,0,-0.61,-0.20,0.18,-0.58,,,,,,,,,
09/30/06,-0.26,0,-0.40,-0.26,0.15,-0.29,,,,,,,,,
12/31/06,-0.08,0,0.26,0.43,0.21,-0.38,,,,,,,,,
03/31/07,-0.22,0,-0.14,-0.16,0.29,-0.27,,,,,,,,,
06/30/07,0.02,0,0.35,0.48,0.23,-0.36,,,,,,,,,
09/30/07,0.18,0,0.26,0.25,0.10,-0.09,,,,,,,,,
12/31/07,0.30,0,0.71,0.48,0.12,0.11,,,,,,,,,
03/31/08,0.39,1,0.21,0.44,-0.27,0.04,,,,,,,,,
06/30/08,1.00,1,2.82,0.64,0.04,2.14,,,,,,,,,
09/30/08,1.32,1,1.54,0.39,0.25,0.90,,,,,,,,,
12/31/08,1.47,1,1.31,0.41,0.15,0.76,,,,,,,,,
03/31/09,2.26,1,3.37,0.41,0.51,2.45,,,,,,,,,
06/30/09,2.24,1,2.74,0.77,0.44,1.52,,,,,,,,,
09/30/09,2.53,0,2.70,0.31,-0.07,2.47,,,,,,,,,
12/31/09,2.82,0,2.48,0.52,-0.35,2.31,,,,,,,,,
03/31/10,2.46,0,1.90,0.39,-0.73,2.23,,,,,,,,,
06/30/10,2.18,0,1.65,0.46,-0.17,1.35,,,,,,,,,
09/30/10,1.69,0,0.73,-0.15,-0.43,1.30,,,,,,,,,
12/31/10,1.21,0,0.55,-0.05,-0.47,1.07,,,,,,,,,
03/31/11,0.42,0,-1.24,-0.47,-0.54,-0.23,,,,,,,,,
06/30/11,-0.24,0,-0.99,-0.12,-0.43,-0.44,,,,,,,,,
09/30/11,-0.85,0,-1.73,-0.72,-0.43,-0.57,,,,,,,,,
12/31/11,-1.15,0,-0.65,0.14,-0.18,-0.61,,,,,,,,,
03/31/12,-1.10,0,-1.05,0.01,-0.34,-0.71,,,,,,,,,
06/30/12,-1.10,0,-0.97,-0.25,-0.15,-0.56,,,,,,,,,
09/30/12,-0.81,0,-0.55,0.07,-0.18,-0.43,,,,,,,,,
12/31/12,-0.97,0,-1.30,-0.63,-0.13,-0.54,,,,,,,,,
03/31/13,-1.09,0,-1.55,-0.71,0.03,-0.87,,,,,,,,,
06/30/13,-1.10,0,-1.00,-0.24,0.11,-0.87,,,,,,,,,
09/30/13,-1.17,0,-0.82,-0.43,0.03,-0.42,,,,,,,,,
12/31/13,-1.11,0,-1.08,-0.50,-0.08,-0.50,,,,,,,,,
03/31/14,-0.96,0,-0.93,0.03,-0.28,-0.67,,,,,,,,,
06/30/14,-0.81,0,-0.42,-0.27,0.26,-0.42,,,,,,,,,
09/30/14,-0.56,0,0.21,0.33,0.18,-0.30,,,,,,,,,
12/31/14,-0.35,0,-0.26,-0.42,0.35,-0.19,,,,,,,,,
03/31/15,-0.02,0,0.40,0.15,0.26,0.00,,,,,,,,,
06/30/15,0.26,0,0.69,0.07,0.63,-0.01,,,,,,,,,
09/30/15,0.28,0,0.27,-0.04,0.37,-0.06,,,,,,,,,
12/31/15,0.37,0,0.10,0.16,-0.03,-0.02,,,,,,,,,
03/31/16,0.43,0,0.67,0.02,0.58,0.07,,,,,,,,,
06/30/16,0.23,0,-0.11,-0.10,-0.04,0.04,,,,,,,,,
09/30/16,0.189,0,0.092,0.11,0.07,-0.08,,,,,,,,,
12/31/16,0.168,0,0.021,0.03,0.00,-0.01,,,,,,,,,
03/31/17,-0.011,0,-0.047,0.00,-0.13,0.08,,,,,,,,,
06/30/17,0.039,0,0.089,0.16,-0.15,0.08,,,,,,,,,
09/30/17,-0.017,0,-0.130,-0.08,-0.10,0.05,,,,,,,,,
12/31/17,0.090,0,0.449,0.26,0.15,0.04,,,,,,,,,
03/31/18,0.208,0,0.422,0.17,0.10,0.15,,,,,,,,,
06/30/18,0.369,0,0.735,0.24,0.20,0.31,,,,,,,,,
09/30/18,0.553,0,0.605,0.23,0.22,0.17,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
